Emp_ID,PWM_Value,Mean,Blur,Texture,Status,Max High Texture,Min High Texture,Max low Texture,Min low Texture,texture_framecount,texture_iriscount,average_textureff,max_texture_iris_count,max_high_meanvalue,min_high_meanvalue,max_low_meanvalue,min_low_meanvalue,average_high_mean,average_low_mean,iris_mean,pupil_mean,mean ratio,Laplcian count,max_lap,min_lap,magnitude,average_mag
MN00,11,203,3746,189.837522,Not Captured,217.183182,216.788559,190.229233,189.825531,1651,328,1855,3199,238,236,205,203,237,203,110.000000,75.000000,1.466667,0.000000,0.000000,0.000000,25.000000,23
MN00,11,203,3744,190.229240,Not Captured,217.183182,216.788559,190.229233,189.825531,1301,212,1855,3199,238,236,205,203,237,203,110.000000,72.000000,1.527778,0.000000,0.000000,0.000000,25.000000,23
MN00,11,204,3701,190.053318,Not Captured,217.183182,216.788559,190.229233,189.825531,1441,334,1855,3199,238,236,205,203,237,203,111.000000,75.000000,1.480000,0.000000,0.000000,0.000000,25.000000,23
MN00,11,204,3645,189.858278,Not Captured,217.183182,216.788559,190.229233,189.825531,1716,367,1855,3199,238,236,205,203,237,203,112.000000,74.000000,1.513514,0.000000,0.000000,0.000000,25.000000,23
MN00,11,204,3600,189.825537,Not Captured,217.183182,216.788559,190.229233,189.825531,2439,554,1855,3199,238,236,205,203,237,203,112.000000,77.000000,1.454545,0.000000,0.000000,0.000000,27.000000,23
MN00,11,205,3563,189.842008,Not Captured,217.183182,216.788559,190.229233,189.825531,2611,602,1855,3199,238,236,205,203,237,203,113.000000,78.000000,1.448718,0.000000,0.000000,0.000000,27.000000,23

MN00,17,228,1926,211.771052,Not Captured,211.771057,211.650543,182.471756,181.997253,245,121,301,127,228,228,194,193,228,193,181.000000,104.000000,1.740385,0.000000,0.000000,0.000000,14.000000,20
MN00,17,228,1938,211.650536,Not Captured,211.771057,211.650543,182.471756,181.997253,194,103,301,127,228,228,194,193,228,193,179.000000,109.000000,1.642202,0.000000,0.000000,0.000000,14.000000,20
MN00,11,193,4348,181.997255,Not Captured,211.771057,211.650543,182.471756,181.997253,345,111,301,127,228,228,194,193,228,193,109.000000,61.000000,1.786885,0.000000,0.000000,0.000000,23.000000,20
MN00,11,193,4356,182.068988,Not Captured,211.771057,211.650543,182.471756,181.997253,296,118,301,127,228,228,194,193,228,193,109.000000,61.000000,1.786885,0.000000,0.000000,0.000000,23.000000,20
MN00,11,194,4341,182.471751,Not Captured,211.771057,211.650543,182.471756,181.997253,206,66,301,127,228,228,194,193,228,193,109.000000,59.000000,1.847458,0.000000,0.000000,0.000000,22.000000,20
MN00,11,194,4341,182.319149,Not Captured,211.771057,211.650543,182.471756,181.997253,335,123,301,127,228,228,194,193,228,193,109.000000,60.000000,1.816667,0.000000,0.000000,0.000000,23.000000,20
MN00,11,194,4335,182.146240,Not Captured,211.771057,211.650543,182.471756,181.997253,391,127,301,127,228,228,194,193,228,193,109.000000,61.000000,1.786885,0.000000,0.000000,0.000000,23.000000,20
MN00,11,194,4331,182.103809,Not Captured,211.771057,211.650543,182.471756,181.997253,375,101,301,127,228,228,194,193,228,193,109.000000,61.000000,1.786885,0.000000,0.000000,0.000000,23.000000,20
MN00,11,194,4330,182.309984,Not Captured,211.771057,211.650543,182.471756,181.997253,328,89,301,127,228,228,194,193,228,193,109.000000,63.000000,1.730159,0.000000,0.000000,0.000000,23.000000,20

MN00,17,229,1913,212.512992,Not Captured,212.512985,212.350113,183.283554,182.682678,194,109,326,177,229,229,197,196,229,196,177.000000,106.000000,1.669811,0.000000,0.000000,0.000000,14.000000,21
MN00,17,229,1919,212.350110,Not Captured,212.512985,212.350113,183.283554,182.682678,247,137,326,177,229,229,197,196,229,196,177.000000,106.000000,1.669811,0.000000,0.000000,0.000000,14.000000,21
MN00,11,197,4138,183.283548,Not Captured,212.512985,212.350113,183.283554,182.682678,209,77,326,177,229,229,197,196,229,196,114.000000,63.000000,1.809524,0.000000,0.000000,0.000000,22.000000,21
MN00,11,196,4144,182.881307,Not Captured,212.512985,212.350113,183.283554,182.682678,326,105,326,177,229,229,197,196,229,196,115.000000,65.000000,1.769231,0.000000,0.000000,0.000000,23.000000,21
MN00,11,197,4136,182.848041,Not Captured,212.512985,212.350113,183.283554,182.682678,474,153,326,177,229,229,197,196,229,196,115.000000,65.000000,1.769231,0.000000,0.000000,0.000000,23.000000,21
MN00,11,197,4125,182.962159,Not Captured,212.512985,212.350113,183.283554,182.682678,323,114,326,177,229,229,197,196,229,196,115.000000,65.000000,1.769231,0.000000,0.000000,0.000000,23.000000,21
MN00,11,197,4122,183.056751,Not Captured,212.512985,212.350113,183.283554,182.682678,304,84,326,177,229,229,197,196,229,196,115.000000,65.000000,1.769231,0.000000,0.000000,0.000000,23.000000,21
MN00,11,197,4131,182.682684,Not Captured,212.512985,212.350113,183.283554,182.682678,545,177,326,177,229,229,197,196,229,196,115.000000,64.000000,1.796875,0.000000,0.000000,0.000000,24.000000,21
MN00,11,197,4126,182.958585,Not Captured,212.512985,212.350113,183.283554,182.682678,313,113,326,177,229,229,197,196,229,196,115.000000,65.000000,1.769231,0.000000,0.000000,0.000000,23.000000,21

MN00,17,232,1682,216.924673,Not Captured,216.924667,216.631134,185.976746,183.093246,181,117,417,262,232,232,202,199,232,199,188.000000,108.000000,1.740741,0.000000,0.000000,0.000000,12.000000,21
MN00,17,232,1687,216.631134,Not Captured,216.924667,216.631134,185.976746,183.093246,170,89,417,262,232,232,202,199,232,199,188.000000,109.000000,1.724771,0.000000,0.000000,0.000000,13.000000,21
MN00,11,202,3862,185.976745,Not Captured,216.924667,216.631134,185.976746,183.093246,243,58,417,262,232,232,202,199,232,199,122.000000,71.000000,1.718310,0.000000,0.000000,0.000000,20.000000,21
MN00,11,199,3909,183.093254,Not Captured,216.924667,216.631134,185.976746,183.093246,279,55,417,262,232,232,202,199,232,199,125.000000,74.000000,1.689189,0.000000,0.000000,0.000000,21.000000,21
MN00,11,201,3853,184.637377,Not Captured,216.924667,216.631134,185.976746,183.093246,358,132,417,262,232,232,202,199,232,199,127.000000,73.000000,1.739726,0.000000,0.000000,0.000000,23.000000,21
MN00,11,200,3850,183.786660,Not Captured,216.924667,216.631134,185.976746,183.093246,620,159,417,262,232,232,202,199,232,199,127.000000,74.000000,1.716216,0.000000,0.000000,0.000000,24.000000,21
MN00,11,200,3907,183.941816,Not Captured,216.924667,216.631134,185.976746,183.093246,619,183,417,262,232,232,202,199,232,199,125.000000,75.000000,1.666667,0.000000,0.000000,0.000000,25.000000,21
MN00,11,199,3964,184.413006,Not Captured,216.924667,216.631134,185.976746,183.093246,405,129,417,262,232,232,202,199,232,199,124.000000,71.000000,1.746479,0.000000,0.000000,0.000000,23.000000,21
